"str_sub.addr.3...2..3."
"42"
"CT"
"42"
"TX"
"CA"
"St"
"Sa"
"42"
"OR"
"NJ"
"DC"
"Do"
"UT"
"Ne"
"NY"
"98"
"MD"

"Co"
"KS"
"45"
"GA"
"KS"
"KS"
"OH"

"AZ"
"FL"
"WI"
"MD"
"KS"
"NV"
"GA"
"IL"

"MN"
"OH"
"DC"
"WA"
"AZ"
"SC"
"OH"
"DC"
"DC"
"NJ"
"DC"
"Me"
"SC"
"US"
"Zo"
"45"
"KS"
"SC"
"AR"
"GA"
"NY"
"GA"
"Me"
"42"
"OH"
"IA"
"CA"
"97"
"MD"
"DC"
"KS"
"GA"
"St"
"42"
"MN"
"TX"
"TN"
"CO"
"27"
"97"
"IL"
"US"
"US"

"SC"
"KS"
"LA"
"PA"
"Sa"
"CA"
"TX"
"Co"
"MD"
"CA"
"DC"
"FL"
"PA"
"SC"
"Me"
"Mi"
"IL"
"GA"
"VA"
"MD"
"CA"
"TX"
"NE"
"SD"
"DC"
"GA"
"NY"
"MI"
"KS"
"IN"
"NY"
"NY"
"CA"

"78"
"US"
"CO"
"GA"
"NY"
"ON"
"CA"
"MD"
"GA"
"MN"
"KS"
"KS"
"IL"
"NY"
"RI"
"IL"
"GA"
"St"
"TX"
"ON"
"GA"
"26"
"89"
"Sa"

"DC"
"IL"
"NJ"
"US"
"DC"
"TX"
"MI"
"OH"
"CA"
"63"
"NE"
"44"
"US"
"CA"
"Bl"
"MI"
"US"
"MO"
"45"
"NJ"
"GA"
"US"
"MI"
"NC"
"US"
"MI"
"78"
"MI"
"CO"

"VA"
"MI"
"IN"
"Ca"
"MI"
"KS"
"OK"
"OK"
"SC"
"ON"
"Sa"
"45"
"PA"
"KS"
"OK"
"KS"
"US"
"St"
"Sa"
"78"
"Ca"
"Co"
"MD"
"PA"
"97"
"37"

"GA"
"UT"
"US"
"Me"
"US"
"CA"
"NY"
"PA"
"CT"
"CA"
"CA"
"De"
"De"

