"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"ALERT! A #catastrophic #Flu surge may be rising

As warned in Jan, a #H3N2 outbreak has developed
but A WORST CASE<U+2026> https://t.co/0GzD4YjrEF",FALSE,0,"Potrblog",2019-03-04 22:13:02,TRUE,"1085646866388119558","1102693458261741570","292493063","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Potrblog",0,FALSE,FALSE,,
"I'm 99% certain I have the flu. I'm also 99% certain that if I hadn't been vaccinated I'd be dying. Friends don't l<U+2026> https://t.co/chGBbNnGFs",FALSE,9,,2019-03-04 22:11:59,TRUE,,"1102693194226196486",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JerseySaraKC",1,FALSE,FALSE,,
"A new study shows exciting data! Researchers have found some immune cells can fight every known #flu virus https://t.co/dWXA3Sqc4z",FALSE,1,,2019-03-04 22:05:20,FALSE,,"1102691522166865920",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GalienFdn",0,FALSE,FALSE,,
"Researcher Bao-Zhong Wang is fighting #influenza #TheStateWay. He's received a $3.86 million federal grant to devel<U+2026> https://t.co/ZTIh8u5515",FALSE,1,,2019-03-04 22:00:38,TRUE,,"1102690340132274176",,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","GSU_Research",0,FALSE,FALSE,,
"Want to try #Oscillococcinum for your #flu-like symptoms? Find it in pharmacies, health food stores, and online: https://t.co/8w8ahK1Xws",FALSE,0,,2019-03-04 21:40:02,FALSE,,"1102685153837633538",,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","BoironCanada",0,FALSE,FALSE,,
"When you're feeling #sick, when should you make an appointment with your doctor? https://t.co/RM6Qn9jPYs #fluseason<U+2026> https://t.co/xKmSVcRmb3",FALSE,0,,2019-03-04 21:20:00,TRUE,,"1102680113051774977",,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NewportHospital",0,FALSE,FALSE,,
"We're not out of the woods yet! The flu is making a late season push, but some doctors say its not uncommon.  I'll<U+2026> https://t.co/2CA08Y84Un",FALSE,3,,2019-03-04 21:13:32,TRUE,,"1102678484831428609",,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>","jburgernews",2,FALSE,FALSE,,
"This year's #Flu strain is a killer. More than 25,000 have died nationwide from the flu. If you haven't yet receive<U+2026> https://t.co/mU56nlDxhV",FALSE,0,,2019-03-04 21:05:32,TRUE,,"1102676473582940166",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","markpoloncarz",1,FALSE,FALSE,,
"CDC estimates that as many as 26,700 people have died from #flu this season, as of Feb. 23. Protect yourself and yo<U+2026> https://t.co/8nIlvK7Exs",FALSE,26,,2019-03-04 21:00:27,TRUE,,"1102675194362163201",,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","CDCFlu",28,FALSE,FALSE,,
"#Flu-like symptoms happen to the best of us!<U+0001F912> Head to your local pharmacy for #Oscillococcinum: https://t.co/WE4037mpxL",FALSE,0,,2019-03-04 20:50:02,FALSE,,"1102672570673967105",,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","BoironCanada",0,FALSE,FALSE,,
