"lon","lat"
-89.4012302,43.0730517
-95.1182645,29.5377315
-85.323214,51.253775
-73.134961,40.789142
-95.712891,37.09024
-95.712891,37.09024
-79.3831843,43.653226
-80.1373174,26.1224386
-102.552784,23.634501
-85.7053085,42.9133602
-74.0059728,40.7127753
-79.3831843,43.653226
-80.256595,26.1669711
-118.1058333,34.0961111
-95.3698028,29.7604267
-79.9310512,32.7764749
-95.712891,37.09024
-95.712891,37.09024
-88.7878678,43.7844397
-75.1694502,39.9256138
-120.5542012,43.8041334
-122.4194155,37.7749295
-79.3831843,43.653226
-75.2854622,40.0067785
-81.7906847,38.4203709
19.5033041,47.162494
-74.0059728,40.7127753
-116.5452921,33.8302961
-74.0059728,40.7127753
-89.3985283,40.6331249
-74.4056612,40.0583238
-76.2858726,36.8507689
-79.9958864,40.4406248
-88.0075875,43.0494572
-104.6188943,50.4452112
-87.6297982,41.8781136
-73.9712488,40.7830603
-80.0734005,34.3740431
-106.346771,56.130366
-78.8783585,35.0526641
-74.90989,40.6367682
-106.346771,56.130366
-78.8783689,42.8864468
-76.7336521,39.9512496
-74.0059728,40.7127753
-74.0059728,40.7127753
-80.6326916,26.3013917
-77.6088465,43.1565779
-88.5433829,39.1200418
-86.1349019,40.2671941
-5.0527125,50.2660471
-77.004626,39.0207668
-79.3831843,43.653226
-81.8595756,40.2720151
-82.907123,40.4172871
-94.5785667,39.0997265
-76.976631,42.5234043
-97.654811,26.2625297
-84.1916069,39.7589478
-79.9568685,43.2665089
-85.6023643,44.3148443
-82.6817662,28.1808458
-77.4360481,37.5407246
-77.475551,43.1303407
-85.4011619,44.2519526
-81.6943605,41.49932
-121.0057931,40.3059999
-79.9958864,40.4406248
-77.4360481,37.5407246
-95.712891,37.09024
-74.0059728,40.7127753
-104.9121967,40.3369272
-80.1330264,40.1826017
-117.8311428,33.7174708
-82.546344,27.2669722
-118.6089752,34.165357
-95.9345034,41.2565369
-77.1945247,41.2033216
-78.6127766,34.6308865
-74.0059728,40.7127753
-74.0059728,40.7127753
-95.712891,37.09024
-106.346771,56.130366
-92.4453161,42.5348993
-79.9958864,40.4406248
-87.6297982,41.8781136
