"str_sub.addr.3...2..3."
"ON"
"SC"
"ON"
"UT"
"PA"
"CA"
"CO"
"VA"
"CA"
"OR"
"GA"
"MI"
"TX"
"Mo"
"TX"
"CT"
"CA"
"TN"
"KS"
"TN"
"Ca"
"KY"

"IN"
"St"
"NY"
"AB"
"NV"
"TX"
"MB"
"AL"
"MD"
"VA"

"WA"
"OK"
"US"
"US"
"00"
"CA"
"ON"
"CA"
"TX"
"KS"
"TX"
"KS"
"TX"
"KS"
"No"
"PA"
"TX"
"OH"
"TX"
"KS"
"CA"
"UT"
"US"
"Sa"
"FL"
"Ka"
"CO"
"NY"

"FL"
"CT"
"KS"
"SC"
"ON"
"KS"
"AL"
"MO"
"GA"
"TX"
"TX"
"NV"
"TX"
"Ca"
"CA"
"CA"
"OH"
"MD"
